[2017/12/19 10:18:16] , 123.936 , -22.211 , 31.7197 , 31.9533
[2017/12/19 10:18:16] , 310.137 , -22.1358 , 31.8605 , 32.0961
[2017/12/19 10:18:16] , 252.851 , -21.9009 , 31.8346 , 32.1573
[2017/12/19 10:18:16] , 293.209 , -21.7808 , 31.6257 , 31.7339
[2017/12/19 10:18:16] , 145.427 , -22.1262 , 31.6575 , 32.0884
[2017/12/19 10:18:15] , 238.072 , -22.0993 , 31.7596 , 32.1385
[2017/12/19 10:18:15] , 255.934 , -22.0087 , 31.9439 , 32.163
[2017/12/19 10:18:15] , 294.958 , -22.0832 , 31.8236 , 32.1029
[2017/12/19 10:18:15] , 292.438 , -22.2061 , 31.6121 , 31.9868
[2017/12/19 10:18:15] , 207.082 , -22.2089 , 31.8278 , 32.1393
[2017/12/19 10:18:15] , 165.465 , -22.2765 , 31.8229 , 32.0756
[2017/12/19 10:18:15] , 316.713 , -22.154 , 31.7528 , 32.0823
[2017/12/19 10:18:14] , 201.923 , -22.0526 , 32.0071 , 32.3216
[2017/12/19 10:18:14] , 239.312 , -22.1572 , 31.509 , 31.7888
[2017/12/19 10:18:14] , 179.738 , -22.338 , 31.4378 , 31.7458
[2017/12/19 10:18:14] , 213.153 , -22.0152 , 31.706 , 31.9318
[2017/12/19 10:18:14] , 126.644 , -22.4267 , 31.4148 , 31.7623
[2017/12/19 10:18:14] , 223.773 , -22.3016 , 31.5964 , 31.7537
[2017/12/19 10:18:14] , 225.011 , -22.3089 , 31.3728 , 31.6804
[2017/12/19 10:18:14] , 254.334 , -22.0288 , 31.2221 , 31.5476
[2017/12/19 10:18:13] , 275.74 , -22.1465 , 31.5183 , 31.8278
[2017/12/19 10:18:13] , 164.911 , -21.8676 , 31.6819 , 32.0241
[2017/12/19 10:18:13] , 289.344 , -22.0197 , 31.7379 , 32.1846
[2017/12/19 10:18:13] , 148.911 , -22.2591 , 31.6019 , 31.8727
[2017/12/19 10:18:13] , 232.647 , -22.1584 , 31.8797 , 32.1846
[2017/12/19 10:18:13] , 360.989 , -22.029 , 32.0087 , 32.2053
[2017/12/19 10:18:13] , 210.751 , -22.028 , 32.0097 , 32.4867
[2017/12/19 10:18:13] , 249.963 , -22.1688 , 31.7748 , 32.0494
[2017/12/19 10:18:12] , 368.736 , -22.2055 , 31.5969 , 31.8625
[2017/12/19 10:18:12] , 306.715 , -22.2456 , 31.3067 , 31.7159
[2017/12/19 10:18:12] , 235.306 , -22.2122 , 31.3417 , 31.6001
[2017/12/19 10:18:12] , 378.457 , -22.2042 , 31.6671 , 31.7215
[2017/12/19 10:18:12] , 213.91 , -21.9736 , 31.7591 , 32.1123
[2017/12/19 10:18:12] , 402.678 , -22.167 , 31.7174 , 32.128
[2017/12/19 10:18:12] , 177.949 , -22.1976 , 31.6148 , 31.9814
[2017/12/19 10:18:11] , 368.541 , -22.2534 , 31.597 , 31.8687
[2017/12/19 10:18:11] , 231.858 , -22.2525 , 31.4392 , 31.7775
[2017/12/19 10:18:11] , 210.718 , -22.2969 , 31.2624 , 31.4701
[2017/12/19 10:18:11] , 102.598 , -22.1909 , 31.555 , 31.8602
[2017/12/19 10:18:11] , 368.774 , -22.1908 , 31.5005 , 31.7166
[2017/12/19 10:18:11] , 195.991 , -22.2488 , 31.4864 , 31.6674
[2017/12/19 10:18:11] , 420.352 , -22.0729 , 31.4214 , 31.7453
[2017/12/19 10:18:11] , 204.826 , -22.1385 , 31.818 , 32.0986
[2017/12/19 10:18:10] , 217.027 , -22.1443 , 31.8875 , 32.3078
[2017/12/19 10:18:10] , 221.355 , -22.2038 , 31.5299 , 31.822
[2017/12/19 10:18:10] , 241.08 , -22.3341 , 31.7136 , 31.9437
